	path	effect_type	effect_allele	other_allele	effect_size	standard_error	pvalue	chr_name	start_pos	end_pos	var_id	chrpos	chrpos_spec	start_anchor	end_anchor	pvalue_logged	sep	compression	group	drop	notes	phenotype	unit	no_cases	samplesize	url	metabolite	full_name	filename
pc_ae_c42_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c42_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C42:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c42_0	PC ae C42:0 	bior_120.txt.gz
pc_ae_c42_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c42_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C42:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c42_1	PC ae C42:1 	bior_121.txt.gz
pc_ae_c42_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c42_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C42:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c42_2	PC ae C42:2 	bior_122.txt.gz
pc_ae_c42_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c42_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C42:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c42_3	PC ae C42:3 	bior_123.txt.gz
pc_ae_c42_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c42_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C42:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c42_4	PC ae C42:4 	bior_124.txt.gz
pc_ae_c42_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c42_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C42:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c42_5	PC ae C42:5 	bior_125.txt.gz
pc_ae_c44_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c44_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C44:3	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c44_3	PC ae C44:3	bior_126.txt.gz
pc_ae_c44_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c44_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C44:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c44_5	PC ae C44:5 	bior_127.txt.gz
pc_ae_c44_6	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c44_6_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C44:6 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c44_6	PC ae C44:6 	bior_128.txt.gz
sm_c16_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_c16_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM C16:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_c16_0	SM C16:0 	bior_129.txt.gz
sm_c16_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_c16_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM C16:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_c16_1	SM C16:1 	bior_130.txt.gz
sm_c18_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_c18_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM C18:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_c18_0	SM C18:0 	bior_131.txt.gz
sm_c18_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_c18_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM C18:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_c18_1	SM C18:1 	bior_132.txt.gz
sm_c20_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_c20_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM C20:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_c20_2	SM C20:2 	bior_133.txt.gz
sm_c24_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_c24_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM C24:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_c24_0	SM C24:0 	bior_134.txt.gz
sm_c24_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_c24_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM C24:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_c24_1	SM C24:1 	bior_135.txt.gz
sm_oh_c14_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_oh_c14_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM (OH) C14:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_oh_c14_1	SM (OH) C14:1 	bior_136.txt.gz
sm_oh_c16_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_oh_c16_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM (OH) C16:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_oh_c16_1	SM (OH) C16:1 	bior_137.txt.gz
sm_oh_c22_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_oh_c22_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM (OH) C22:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_oh_c22_1	SM (OH) C22:1 	bior_138.txt.gz
sm_oh_c22_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/sm_oh_c22_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	SM (OH) C22:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	sm_oh_c22_2	SM (OH) C22:2 	bior_139.txt.gz
hexose	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/hexose_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	Hexose 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	hexose	Hexose 	bior_140.txt.gz
